 Mortalidade - Brasil
Óbitos p/Residênc por Macrorregião de Saúde e Ano do Óbito
Categoria CID-10: C47   Neopl malig nervos perif e sist nerv autonom, C48   Neopl malig tec moles retro- e peritonio, C49   Neopl malig tec conjuntivo e outr tec moles, C50   Neopl malig da mama, C51   Neopl malig da vulva, C52   Neopl malig da vagina, C53   Neopl malig do colo do utero, C54   Neopl malig do corpo do utero, C55   Neopl malig do utero porcao NE, C56   Neopl malig do ovario, C57   Neopl malig outr org genitais femin e NE, C58   Neopl malig da placenta, C60   Neopl malig do penis, C61   Neopl malig da prostata, C62   Neopl malig dos testiculos, C63   Neopl malig outr org genit masc e NE, C64   Neopl malig do rim exceto pelve renal, C65   Neopl malig da pelve renal, C66   Neopl malig dos ureteres, C67   Neopl malig da bexiga, C68   Neopl malig de outr orgaos urinarios e NE, C69   Neopl malig do olho e anexos, C70   Neopl malig das meninges, C71   Neopl malig do encefalo, C72   Neop mal med esp nerv cran out sist nerv cen, C73   Neopl malig da gland tireoide, C74   Neopl malig da gland supra-renal, C75   Neopl malig outr gland endocrinas estr relac, C76   Neopl malig outr localiz e mal definidas, C77   Neopl malig secund e NE gangl linfaticos, C78   Neopl malig secund org respirat e digestivos, C79   Neopl malig secund de outr localiz, C80   Neopl malig s/especificacao de localiz
Faixa Etária: 10 a 14 anos
Período:1996-2020
"Macrorregião de Saúde";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"1101 MACRORREGIONAL II (CACOAL)";1;1;-;2;1;1;1;1;2;-;-;1;-;-;-;-;1;2;1;-;1;3;-;-;1;20
"1102 MACRORREGIAO I - PORTO VELHO";-;1;2;-;-;1;2;1;2;1;3;2;2;1;-;3;2;2;2;-;2;2;2;1;1;35
"1201 MACRO UNICA - AC";1;-;1;-;-;1;-;1;1;-;4;4;1;2;2;-;-;2;2;2;-;1;-;-;-;25
"1302 OESTE";-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;5
"1303 LESTE";-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;6
"1304 CENTRAL";5;2;4;1;2;1;1;4;5;3;3;6;2;4;3;4;4;3;8;3;4;6;7;4;7;96
"1401 MACRO-RORAIMA";1;-;-;1;1;-;-;1;1;1;-;-;-;1;1;1;-;-;1;1;-;-;-;1;1;13
"1509 MACRORREGIONAL IV";-;-;-;2;-;1;1;-;1;-;1;1;1;-;-;-;1;2;-;1;3;2;3;3;2;25
"1510 MACRORREGIONAL III";-;1;2;1;-;1;-;-;1;2;-;1;2;1;2;-;1;1;1;6;1;1;1;1;-;27
"1511 MACRORREGIONAL II";-;1;-;2;-;-;-;-;1;1;-;1;1;1;1;1;2;2;3;1;4;1;2;-;2;27
"1512 MACRORREGIONAL I";4;2;5;2;-;3;3;3;9;2;2;3;3;3;1;1;6;6;4;6;5;4;3;3;4;87
